Row,Month,Year,Age,Source,Blood_ppm,Censored,Liver_ppm,Bone_ppm,Blood_lead_level,Liver_lead_level,Bone_lead_level,Lead_level_code,X_ray_results,County_found,Outcome,Comments,Released
1,January,2004,NA,Macbride,0.094,0,NA,NA,B,NA,NA,B,NA,NA,EU,NA,NotR
2,February,2004,adult,SOAR,NA,NA,NA,NA,NA,NA,NA,NA,N,Woodbury,R,NA,R
3,July,2004,adult,SOAR,NA,NA,NA,NA,NA,NA,NA,NA,PS,Buena Vista,UNR,**shot with high power rifle **UNR is a negative rehabilitative outcome and for the purposes of this study UNR are included with the euthanized (EU) category.,NotR
4,October,2004,<1,SOAR,0.09,0,NA,NA,B,NA,NA,B,N,Calhoun,R,NA,R
5,December,2004,adult,SOAR,NA,NA,21,NA,NA,C,NA,C,N,Kossuth,Died,NA,NotR
6,December,2004,adult,SOAR,2,0,NA,NA,C,NA,NA,C,PG,Sioux,Died,NA,NotR
7,December,2004,<1,SOAR,1.7,0,NA,NA,C,NA,NA,C,N,Sioux,Died,NA,NotR
8,December,2004,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,PS,NA,R,NA,R
9,January,2005,<1,SOAR,1.13,0,NA,NA,C,NA,NA,C,N,Woodbury,UNR,**UNR is a negative rehabilitative outcome and for the purposes of this study UNR are included with the euthanized (EU) category.,NotR
10,February,2005,juvenile,SOAR,0.06,0,NA,NA,B,NA,NA,B,N,Dallas,R,NA,R
11,February,2005,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,PG,NA,Died,NA,NotR
12,February,2005,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,PG,NA,Died,NA,NotR
13,March,2005,adult,SOAR,NA,NA,32,NA,NA,C,NA,C,N,Dallas,Died,NA,NotR
14,March,2005,adult,SOAR,0.1,0,NA,NA,B,NA,NA,B,N,Lyon,R,NA,R
15,March,2005,adult,SOAR,0.1,0,NA,NA,B,NA,NA,B,N,Marion,R,NA,R
16,March,2005,adult,SOAR,NA,NA,7.5,NA,NA,C,NA,C,N,Woodbury,Died,NA,NotR
17,March,2005,NA,Macbride,0.1,0,NA,NA,B,NA,NA,B,NA,NA,R,NA,R
18,March,2005,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,PG,NA,EU,NA,NotR
19,March,2005,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,PG,NA,EU,NA,NotR
20,March,2005,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DOA,NA,NotR
21,March,2005,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DOA,NA,NotR
22,April,2005,<1,SOAR,0.3,0,NA,NA,SC,NA,NA,SC,N,Buena Vista,UNR,**UNR is a negative rehabilitative outcome and for the purposes of this study UNR are included with the euthanized (EU) category.,NotR
23,November,2005,adult,WCC,8,0,NA,NA,C,NA,NA,C,N,Marshall,Died,NA,NotR
24,November,2005,NA,Macbride,0.17,0,NA,NA,B,NA,NA,B,N,NA,R,NA,R
25,November,2005,NA,Macbride,1.19,0,NA,NA,C,NA,NA,C,PG,NA,EU,NA,NotR
26,December,2005,juvenile,SOAR,9.3,0,NA,NA,C,NA,NA,C,PS,Clay,EU,**.22 bullet ingested,NotR
27,December,2005,juvenile,WCC,6,0,NA,NA,C,NA,NA,C,NA,Jasper,Died,NA,NotR
28,December,2005,NA,Macbride,0.65,0,NA,NA,C,NA,NA,C,N,NA,Died,NA,NotR
29,January,2006,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cedar,EU,NA,NotR
